,Mean,Lower_ci,Upper_ci,Date,City
7745,372231.7189485369,344803.1937430122,399660.2441540616,2022-07,"Boone, NC"
7746,374533.77504202543,345648.68000149704,403418.8700825538,2022-08,"Boone, NC"
7747,376804.5697240031,346456.5098239409,407152.62962406524,2022-09,"Boone, NC"
7748,379044.8149785588,347228.00404304184,410861.62591407576,2022-10,"Boone, NC"
7749,381255.20657422,347964.4521188034,414545.96102963656,2022-11,"Boone, NC"
7750,383436.4244332647,348667.10924570344,418205.739620826,2022-12,"Boone, NC"
7751,385589.1329926228,349337.1946547446,421841.071330501,2023-01,"Boone, NC"
7752,109789.05779277394,108337.73924167232,111240.37634387556,2021-02,"Bartlesville, OK"
7753,109966.22733333678,107870.3438728993,112062.11079377425,2021-03,"Bartlesville, OK"
7754,110140.44637570965,107540.04608990236,112740.84666151695,2021-04,"Bartlesville, OK"
7755,110313.34544663338,107285.3056698092,113341.38522345756,2021-05,"Bartlesville, OK"
7756,110485.65399876524,107080.82210490997,113890.4858926205,2021-06,"Bartlesville, OK"
7757,110657.69836908938,106912.79239794443,114402.60434023433,2021-07,"Bartlesville, OK"
7758,110829.62455176483,106772.63570866158,114886.6133948681,2021-08,"Bartlesville, OK"
7759,111001.49786054852,106654.60048315991,115348.39523793713,2021-09,"Bartlesville, OK"
7760,111173.34751501249,106554.6295573484,115792.06547267658,2021-10,"Bartlesville, OK"
7761,111345.18658718673,106469.74827149606,116220.6249028774,2021-11,"Bartlesville, OK"
7762,111517.02092513665,106397.70669668548,116636.33515358782,2021-12,"Bartlesville, OK"
7763,111688.85314512528,106336.7583680005,117040.94792225005,2022-01,"Bartlesville, OK"
7764,111860.6844175965,106285.5175055167,117435.85132967628,2022-02,"Bartlesville, OK"
7765,112032.51526617457,106242.86364561695,117822.16688673219,2022-03,"Bartlesville, OK"
7766,112204.34592511455,106207.87603581218,118200.81581441693,2022-04,"Bartlesville, OK"
7767,112376.17649921568,106179.7873232468,118572.56567518457,2022-05,"Bartlesville, OK"
7768,112548.00703536226,106157.95010300269,118938.06396772183,2022-06,"Bartlesville, OK"
7769,112719.837554529,106141.81225311446,119297.86285594355,2022-07,"Bartlesville, OK"
7770,112891.66806609945,106130.898409333,119652.4377228659,2022-08,"Bartlesville, OK"
7771,113063.49857427152,106124.79581832128,120002.20133022177,2022-09,"Bartlesville, OK"
7772,113235.32908092326,106123.14337168096,120347.51479016556,2022-10,"Bartlesville, OK"
7773,113407.15958689484,106125.62299015663,120688.69618363304,2022-11,"Bartlesville, OK"
7774,113578.99009256213,106131.95277123227,121026.02741389199,2022-12,"Bartlesville, OK"
7775,113750.8205980933,106141.88147855512,121359.75971763147,2023-01,"Bartlesville, OK"
7776,196393.80391240062,194241.6172110929,198545.99061370833,2021-02,"St. Marys, GA"
7777,197898.27532906694,194641.89294009947,201154.6577180344,2021-03,"St. Marys, GA"
7778,199363.3341888336,195117.44078065784,203609.22759700936,2021-04,"St. Marys, GA"
7779,200790.43633005267,195594.4619791,205986.41068100536,2021-05,"St. Marys, GA"
7780,202180.9838146793,196049.36157660928,208312.6060527493,2021-06,"St. Marys, GA"
7781,203536.32691468767,196472.92404752696,210599.72978184838,2021-07,"St. Marys, GA"
7782,204857.76602511233,196861.57552296348,212853.95652726118,2021-08,"St. Marys, GA"
7783,206146.5535064244,197214.33097931452,215078.77603353426,2021-09,"St. Marys, GA"
7784,207403.89545885328,197531.50032772223,217276.29058998433,2021-10,"St. Marys, GA"
7785,208630.95343116805,197814.0689575492,219447.8379047869,2021-11,"St. Marys, GA"
7786,209828.84606633868,198063.3756723647,221594.31646031266,2021-12,"St. Marys, GA"
7787,210998.65068640935,198280.93534134788,223716.36603147082,2022-01,"St. Marys, GA"
7788,212141.40481882906,198468.33730041434,225814.4723372438,2022-02,"St. Marys, GA"
7789,213258.10766640175,198627.1856709539,227889.02966184958,2022-03,"St. Marys, GA"
7790,214349.72152293895,198759.0638957086,229940.37915016932,2022-04,"St. Marys, GA"
7791,215417.17313662043,198865.5137424009,231968.83253083998,2022-05,"St. Marys, GA"
7792,216461.35502299425,198948.02317603063,233974.68686995786,2022-06,"St. Marys, GA"
7793,217483.12672947685,199008.0197719798,235958.2336869739,2022-07,"St. Marys, GA"
7794,218483.3160531443,199046.86763506738,237919.76447122125,2022-08,"St. Marys, GA"
7795,219462.72021354045,199065.8665508027,239859.5738762782,2022-09,"St. Marys, GA"
7796,220422.10698216312,199066.25255603637,241777.96140828988,2022-10,"St. Marys, GA"
7797,221362.21577022912,199049.19940227055,243675.23213818768,2022-11,"St. Marys, GA"
7798,222283.7586762586,199015.82056617705,245551.69678634018,2022-12,"St. Marys, GA"
7799,223187.42149496367,198967.17157884885,247407.67141107848,2023-01,"St. Marys, GA"
7800,124937.27388759765,124117.9522438962,125756.5955312991,2021-02,"Amsterdam, NY"
7801,125473.39847090021,124236.3628463249,126710.43409547552,2021-03,"Amsterdam, NY"
7802,126002.08918234022,124391.40333580828,127612.77502887216,2021-04,"Amsterdam, NY"
7803,126523.53700116895,124553.95065519735,128493.12334714056,2021-05,"Amsterdam, NY"
7804,127037.92800030153,124714.24727619182,129361.60872441124,2021-06,"Amsterdam, NY"
7805,127545.44347236269,124868.14254849947,130222.74439622591,2021-07,"Amsterdam, NY"
7806,128046.26005249446,125013.7225687186,131078.79753627031,2021-08,"Amsterdam, NY"
7807,128540.54983800881,125150.12568781461,131930.973988203,2021-09,"Amsterdam, NY"
7808,129028.4805049664,125277.03631209956,132779.92469783325,2021-10,"Amsterdam, NY"
7809,129510.21542176034,125394.43984500441,133625.99099851627,2021-11,"Amsterdam, NY"
7810,129985.91375978196,125502.49337920427,134469.33414035966,2021-12,"Amsterdam, NY"
7811,130455.73060124354,125601.45308978205,135310.00811270502,2022-01,"Amsterdam, NY"
7812,130919.81704423101,125691.63155363231,136148.00253482972,2022-02,"Amsterdam, NY"
7813,131378.3203050578,125773.37179883115,136983.26881128445,2022-03,"Amsterdam, NY"
